Predicted_Demand,Estimated Error,date
22461.894038215978,17418.528484446368,2023-01-01
21062.51003964711,11928.559506809188,2023-02-01
45682.3074111836,5595.26202017359,2023-03-01
42393.49037012586,10781.489281141612,2023-04-01
51309.82392850437,10840.115435994097,2023-05-01
48824.28513224365,5890.46252693711,2023-06-01
41129.30796685803,14175.578256802342,2023-07-01
26485.28466946329,17112.58229513244,2023-08-01
21932.46626529249,18153.036247232794,2023-09-01
19430.38111407531,17129.365755153187,2023-10-01
17034.65692914161,15151.978557390581,2023-11-01
26869.295002963743,15155.365567283952,2023-12-01
0,11276.47161215463,2024-01-01
29845.31408290239,10980.313791069935,2024-02-01
31967.998438240727,8353.699319619276,2024-03-01
16749.068315351848,5681.411184824991,2024-04-01
23303.915536927292,10635.091153895004,2024-05-01
16404.879102986888,15477.031308613705,2024-06-01
25439.065096629784,13759.930858069978,2024-07-01
19196.728564241203,20463.441529706546,2024-08-01
14137.545121788746,13733.345980172928,2024-09-01
6294.415124174324,16578.24600774558,2024-10-01
27173.269135209033,14629.476287350788,2024-11-01
44465.762490114896,14529.191726414818,2024-12-01
122.08104691153858,13507.28234152528,2025-01-01
80661.39089174825,13470.240994538479,2025-02-01
73228.15296109882,6898.579492451694,2025-03-01
26635.980862513534,2609.3421182482643,2025-04-01
14981.477152159554,11488.848293699346,2025-05-01
10294.422763051,14745.622067160044,2025-06-01
18584.76937011897,11508.366071442702,2025-07-01
48373.67773493519,13141.08237499944,2025-08-01
8105.764923951821,17193.823037367052,2025-09-01
0,16083.249690061362,2025-10-01
43307.60254495847,16474.23866181102,2025-11-01
100671.37398531765,12734.212336319126,2025-12-01
30196.478711944073,6208.2436636355405,2026-01-01
57096.24808716646,11658.392875075277,2026-02-01
34753.203906866605,9475.070918896221,2026-03-01
30570.886150358478,4653.468624280827,2026-04-01
12439.206160259782,10384.056887053399,2026-05-01
14956.374270073138,10221.364887841535,2026-06-01
519.8882836267585,17453.323816780252,2026-07-01
15099.401093167951,18153.1980290254,2026-08-01
11945.881774251,10773.299595210821,2026-09-01
22466.950627257233,13824.341634743289,2026-10-01
22986.19174729893,13506.881455150384,2026-11-01
46536.41554740991,15361.24025951813,2026-12-01
3724.2164039801573,15432.478940991115,2027-01-01
44788.840392339625,10710.588053582462,2027-02-01
33017.118726322544,5479.549361287114,2027-03-01
22689.114997048862,8415.84765322502,2027-04-01
38300.563551191124,9922.030291226378,2027-05-01
23826.896443611244,7115.324925221616,2027-06-01
24934.79694615584,9180.049625815067,2027-07-01
22953.615192994475,19400.56677110007,2027-08-01
4651.259734607767,11188.43512932202,2027-09-01
14539.123357853154,17771.602331045273,2027-10-01
43642.19053323218,13211.273744215587,2027-11-01
73007.55140756816,9076.148827079893,2027-12-01
21420.6853157297,3242.286829371905,2028-01-01
63258.44056119537,4434.0907756522,2028-02-01
40083.05971089483,9096.391162554786,2028-03-01
12745.734072159743,8501.74567748563,2028-04-01
22165.51326991734,7546.907986167424,2028-05-01
19415.220112061477,14304.136478433527,2028-06-01
11615.276986816083,10550.247981438266,2028-07-01
53746.240122938645,14494.096742226377,2028-08-01
21426.582348034834,13919.687821334255,2028-09-01
4185.762428230257,16071.68958049051,2028-10-01
34179.05296487373,20224.047432737618,2028-11-01
65053.261873412994,13637.38680060669,2028-12-01
5381.337919784128,11558.969673436728,2029-01-01
52217.69806957885,7296.091037109023,2029-02-01
18817.62034248223,12346.815046830245,2029-03-01
26588.10098420584,4407.347979810169,2029-04-01
30685.355651156395,13767.071341371786,2029-05-01
42546.42178226006,10242.346190491407,2029-06-01
18293.673341916176,14167.724229871912,2029-07-01
47223.47412349249,17865.83095498884,2029-08-01
22918.019745037425,15030.500155137006,2029-09-01
19264.517311920645,18639.499348781857,2029-10-01
37920.89727325679,15698.925320711603,2029-11-01
63943.60859169485,12415.992029454539,2029-12-01
16638.32962470269,12501.618432553814,2030-01-01
25315.605483402964,6752.396138923121,2030-02-01
13777.39209598978,6886.196156812528,2030-03-01
3547.7495484807296,9549.568160059489,2030-04-01
28738.933456364903,12513.722908712012,2030-05-01
30507.353314251057,13012.045474343951,2030-06-01
7272.221588097862,13461.970348117076,2030-07-01
86454.8571164885,20251.851521717126,2030-08-01
41813.101839996525,20095.010379339183,2030-09-01
27910.792811538093,12527.124018455152,2030-10-01
48954.39401237189,18893.337727702758,2030-11-01
41657.82418857189,16584.903565284993,2030-12-01
46554.94325476501,10027.267899374097,2031-01-01
80480.68073547527,10740.91654153358,2031-02-01
26117.913336867,11490.47748285983,2031-03-01
25139.697554269922,11344.605990454997,2031-04-01
20453.530436112895,15448.198827966742,2031-05-01
39245.25074712548,10800.597855358777,2031-06-01
7391.703705501277,15458.352486718866,2031-07-01
24064.727952812682,18979.87439393166,2031-08-01
10784.639166573179,9660.656844427815,2031-09-01
15142.901353897993,15259.424534012394,2031-10-01
59092.51069342869,18502.030764820407,2031-11-01
85070.97056779207,18945.220698802146,2031-12-01
0,7958.046653967386,2032-01-01
41338.15368155518,19330.670954139667,2032-02-01
45542.050553857465,11113.935191964902,2032-03-01
34580.76920939761,6055.297376893362,2032-04-01
32370.385638735374,2581.8323211852917,2032-05-01
17517.98687118909,14084.713842183819,2032-06-01
21179.065221220488,10325.994043178473,2032-07-01
26241.024987083627,16837.533767320925,2032-08-01
36069.54751056072,9966.581020101421,2032-09-01
23648.94433443586,16440.023805040084,2032-10-01
27625.34217698616,14677.555892922028,2032-11-01
39890.81210891961,13033.826245503182,2032-12-01
10312.00350274914,12874.416656617288,2033-01-01
56361.0916803116,6162.920957345729,2033-02-01
42750.205569798476,6494.337208128281,2033-03-01
20385.846873072325,6106.047991783693,2033-04-01
24588.73339567613,11106.71671389578,2033-05-01
26047.330759774544,8182.507652162715,2033-06-01
26488.22523867374,7028.08900190021,2033-07-01
33538.45240632759,15764.693598367836,2033-08-01
12852.185605384293,18729.263004250857,2033-09-01
7463.982325438061,9175.540220363644,2033-10-01
27122.05272505805,18431.25424650525,2033-11-01
65623.71301428112,14416.733285706357,2033-12-01
9793.897742668632,11700.527501125267,2034-01-01
92766.9720442089,12914.805209171816,2034-02-01
47914.733155529015,10251.091242346554,2034-03-01
8158.564768823213,4426.805519446768,2034-04-01
1530.3505583526567,12718.479043820937,2034-05-01
21644.765636073076,11196.755251984863,2034-06-01
23523.55437245604,10944.12989788062,2034-07-01
145503.6808015639,13489.825406305377,2034-08-01
73254.29412573972,20262.320764116503,2034-09-01
28836.342533738934,9878.148116857168,2034-10-01
122510.29938683019,18713.393860984976,2034-11-01
126452.46129305847,13737.002257333748,2034-12-01
0,18656.42635445329,2035-01-01
30403.09684030118,14412.897983095792,2035-02-01
0,8598.008988223626,2035-03-01
4122.1347754348535,9656.897030725866,2035-04-01
6980.82030264684,13193.22795259111,2035-05-01
13085.276571305469,12307.146307033903,2035-06-01
18081.811764108366,13709.01720850561,2035-07-01
32011.336983407266,12026.548625587126,2035-08-01
53155.54073805944,11679.046415908344,2035-09-01
28114.92956330534,16625.622185451783,2035-10-01
24758.14560239273,13233.493084790685,2035-11-01
60884.25488389947,15260.086549164482,2035-12-01
