Predicted_Demand,Estimated Error,Combined_demand,date
28938.655651999976,3083.1777,23974.3708544407,2021-01-01
30323.82262799998,3246.62,54992.93625043491,2021-02-01
28808.202115999982,139.10733,64343.9260640085,2021-03-01
29160.736615999984,1635.2872,70650.97638421532,2021-04-01
29385.001851999972,33.840706,63539.13871127392,2021-05-01
27791.286539999983,87.88111,65690.78227861926,2021-06-01
28240.136547999988,2084.191,59003.066843946144,2021-07-01
27863.86066399998,686.2012,47892.426448997314,2021-08-01
29018.052791999988,5689.769,47293.777981183666,2021-09-01
29498.967599999985,78.67986,48373.99109798543,2021-10-01
27347.714991999994,4332.7603,47332.403176203006,2021-11-01
27138.1441,5347.842,50142.907989104744,2021-12-01
26701.89273199999,3558.2524,26419.356939612037,2022-01-01
28174.143023999994,6147.3687,57377.24693831854,2022-02-01
30174.10723599999,71.65657,64260.59149642543,2022-03-01
29184.49472399998,6758.849,68263.40004401443,2022-04-01
28230.531087999996,4470.287,59530.529502494566,2022-05-01
27918.183687999997,129.15257,66408.45536543132,2022-06-01
28589.69325599999,2190.543,58981.63700940122,2022-07-01
29418.63716399999,176.77087,44847.10883113292,2022-08-01
30364.43427999998,5817.8823,44747.458440811606,2022-09-01
30242.68069999999,3960.5093,44793.87701253456,2022-10-01
29901.03188399999,1657.7019,43857.02168656263,2022-11-01
29381.148683999985,6785.365,46888.59888615589,2022-12-01
27337.442535999984,3053.2458,24876.66858292281,2023-01-01
29176.752711999983,2784.8088,44665.69523876216,2023-02-01
27968.35769999999,471.43127,51728.32709581898,2023-03-01
27713.388599999995,7148.079,56690.291865221385,2023-04-01
26227.0154,287.22556,49158.31216747129,2023-05-01
26466.294008000004,-118.93145,59163.83225031363,2023-06-01
27508.8728,2173.9824,51528.60248891507,2023-07-01
26902.790724000006,7962.428,49438.04986278116,2023-08-01
27376.264924000003,13351.732,49453.58718512363,2023-09-01
28013.366868,4881.853,53029.728507968495,2023-10-01
28471.613368000002,-2672.2683,49529.721766151226,2023-11-01
27691.911768,6632.871,49840.07941933247,2023-12-01
27347.527508,10806.77,31551.36719470086,2024-01-01
28109.26559999999,5955.1196,48980.43448600116,2024-02-01
29229.358999999982,3961.1287,55685.94477979827,2024-03-01
28684.119499999983,8208.003,60464.61472033859,2024-04-01
26456.536999999997,4279.417,52787.73162712864,2024-05-01
26839.990023999995,4654.6445,63069.81229394392,2024-06-01
28377.706031999995,2368.7622,56123.327128827426,2024-07-01
29337.887355999985,8233.945,45979.37068905968,2024-08-01
29763.949355999983,13575.648,46732.445595723344,2024-09-01
30358.447483999982,5119.099,45314.76601809793,2024-10-01
30451.98278399999,-2436.69,42756.90651431137,2024-11-01
29172.847183999987,2333.4941,48441.413524803065,2024-12-01
27962.338039999988,11408.016,33819.58276389417,2025-01-01
29345.48901599998,881.88153,51468.52239450798,2025-02-01
27995.946483999993,3931.4155,57842.3564782882,2025-03-01
27677.529483999995,2491.634,68121.98397646003,2025-04-01
26417.4651,-1487.5525,63650.272836239485,2025-05-01
26861.042208,4905.75,74614.54848338231,2025-06-01
27508.8728,3737.2913,67275.48222249975,2025-07-01
27882.240624,3922.449,57122.238192080025,2025-08-01
28299.690423999997,9192.222,56228.41983241755,2025-09-01
28919.182467999995,907.9679,57051.863300994926,2025-10-01
28471.613368000002,-2442.4355,56611.000618823266,2025-11-01
27691.911768,2536.0122,55546.892195966124,2025-12-01
27347.527508,6722.798,41142.61039368938,2026-01-01
28109.26559999999,890.03546,57627.51871198369,2026-02-01
29229.358999999982,429.4091,66775.34306792483,2026-03-01
28698.012199999983,2476.2776,68727.5497644854,2026-04-01
26456.536999999997,-1438.75,61387.852337595556,2026-05-01
26660.920224,-703.30676,71427.87273208491,2026-06-01
28377.706031999995,3783.6306,67436.6249090557,2026-07-01
29351.780055999985,504.7815,54577.76768540927,2026-08-01
29777.84205599998,5808.432,54957.84321851516,2026-09-01
30358.447483999982,1453.804,56658.35070059358,2026-10-01
29708.553831999983,-2035.9476,55177.83467801756,2026-11-01
28262.58423199999,2942.502,54818.45145620211,2026-12-01
27962.338039999988,2717.531,42873.39261745049,2027-01-01
29359.38171599998,1398.3768,61315.44759638728,2027-02-01
27995.946483999993,756.1955,69677.98281073399,2027-03-01
27723.688783999994,2812.9207,74289.27316814163,2027-04-01
26417.4651,-1024.5265,65987.68006275219,2027-05-01
26681.972408,-589.80023,76081.86911904994,2027-06-01
27508.8728,3786.9846,69438.00980221671,2027-07-01
27928.399923999998,548.2541,60122.824980697,2027-08-01
28134.156323999996,5923.6196,60199.14567667601,2027-09-01
28916.378867999996,1336.1202,63563.26542896524,2027-10-01
27223.920652000004,-1757.959,62082.8793335034,2027-11-01
26711.519252000006,3128.9697,60913.73711462805,2027-12-01
27347.527508,3200.491,38511.22937059644,2028-01-01
27818.000999999993,1399.0454,57260.15873649881,2028-02-01
29243.25169999998,927.49,64143.5654814819,2028-03-01
27723.49293999999,2783.951,68734.16624857903,2028-04-01
26106.328047999996,-1109.4265,61386.96923813365,2028-05-01
26581.242724,-696.9257,71427.29136276896,2028-06-01
28437.758031999994,3768.6257,64808.615456940766,2028-07-01
28466.797303999992,634.52856,53756.08577582757,2028-08-01
29477.999339999984,5778.2437,57362.8696867744,2028-09-01
30041.742567999987,1594.3728,55148.352759261106,2028-10-01
30026.098967999988,-1757.959,55183.91141273049,2028-11-01
28984.40466799999,3273.0483,54851.37856938453,2028-12-01
26895.96607999999,5220.2524,38052.91281125184,2029-01-01
28279.099991999985,1371.1428,56507.532839252875,2029-02-01
26575.937959999996,756.7529,64895.53690734047,2029-03-01
26264.535859999993,2783.951,69481.16455188024,2029-04-01
26362.000684000002,-1142.6875,61179.5649165131,2029-05-01
26745.696891999993,165.31021,71273.13558925627,2029-06-01
26001.547676000002,4681.076,64654.79656012512,2029-07-01
26345.38050800001,1120.5985,55162.11124631566,2029-08-01
26682.706208000003,5905.8506,57810.8898246265,2029-09-01
27371.016652000002,2099.127,58103.01145534779,2029-10-01
26760.47675200001,-1101.7086,56616.914338568284,2029-11-01
26883.62095200001,3677.0881,55587.660166611284,2029-12-01
25675.139883999997,3649.8718,38510.26090041183,2030-01-01
26620.801375999996,2239.4077,57524.03070589418,2030-02-01
28125.382575999993,1623.3412,64142.648228756254,2030-03-01
26690.556375999997,3650.5388,69548.19957092682,2030-04-01
26705.890383999995,-277.10083,61652.792659919825,2030-05-01
27097.29120799999,165.69092,71430.08894910093,2030-06-01
27114.700907999995,4630.874,64807.95274985123,2030-07-01
27666.065639999997,1120.5985,54369.833001060964,2030-08-01
29198.080039999986,5905.8506,57308.35427381353,2030-09-01
29500.369767999993,2099.127,56663.25523292099,2030-10-01
28759.462467999998,-1315.6678,55057.91831586274,2030-11-01
29148.113567999993,3425.0615,55694.929462135784,2030-12-01
