Predicted_Demand,Estimated Error,Combined_demand,date
17949.5091,10069.573,19620.28806941546,2021-01-01
12270.910100000003,8248.22,13225.34716927552,2021-02-01
14672.101100000002,2355.3616,8301.695910142256,2021-03-01
19431.6889,8133.3755,12211.31826959812,2021-04-01
16969.340399999994,7856.0483,18063.97419812258,2021-05-01
17378.006509090905,1941.4629,14821.238725523552,2021-06-01
24640.97645454545,14672.86,24872.393555631308,2021-07-01
24999.75065454544,11716.724,29000.34533831966,2021-08-01
15284.953054545447,3311.5554,22567.276036745465,2021-09-01
21058.416754545455,10726.654,17835.618986036607,2021-10-01
21137.451054545454,7349.665,15719.210111320743,2021-11-01
15715.9892,6719.5977,14723.383655834386,2021-12-01
26209.923899999987,11282.987,19834.05906246255,2022-01-01
15258.002700000003,9239.512,13336.218132822538,2022-02-01
15238.323900000003,3107.5486,8493.519812455452,2022-03-01
17242.809900000004,8958.531,12671.06438161779,2022-04-01
14949.836299999994,8635.056,18724.878906270522,2022-05-01
16851.595954545446,3523.513,15318.811220560063,2022-06-01
24004.111854545452,13318.874,23811.39478595249,2022-07-01
23646.911554545448,11362.652,32718.82208541993,2022-08-01
16392.998954545445,3132.2856,21933.947174535046,2022-09-01
21093.167054545447,9873.587,17675.792034420603,2022-10-01
20713.39835454545,6466.8364,15452.336189644728,2022-11-01
15225.165199999998,5836.7695,15371.170308117526,2022-12-01
25823.54029999999,10417.326,19268.831844324148,2023-01-01
16384.200200000003,8355.206,12596.719722791742,2023-02-01
16324.820500000003,2821.5547,7603.38191718248,2023-03-01
18023.150400000002,8070.1904,12152.557418321492,2023-04-01
14919.137799999993,7809.8457,18860.4407642278,2023-05-01
16664.55405454545,3148.9426,14937.527474133374,2023-06-01
23340.197354545453,12449.293,24362.487871479356,2023-07-01
23384.48005454545,10922.475,27464.53929207242,2023-08-01
19620.948009090902,2954.2375,18459.189147363133,2023-09-01
24965.368654545433,9836.208,17675.05468657035,2023-10-01
23274.85105454544,6466.7354,15769.3110958158,2023-11-01
18931.150999999998,5836.7695,14741.235687918419,2023-12-01
27548.763099999982,10425.983,20133.120448671336,2024-01-01
14821.067600000002,8248.22,13162.488300963778,2024-02-01
16025.642200000002,2949.0305,7903.945315267307,2024-03-01
18023.150400000002,8070.1904,12102.89511321179,2024-04-01
16042.831599999998,7809.8457,18642.45758221313,2024-05-01
19159.179154545454,2447.8015,14837.183260567945,2024-06-01
26482.867899999972,12465.667,23822.670255201952,2024-07-01
25481.952699999987,10916.712,29273.912240204452,2024-08-01
20810.323699999994,2937.4824,22584.528116112706,2024-09-01
25093.97859999998,9872.869,17693.22721575816,2024-10-01
23654.142099999986,6466.8364,15477.801292581255,2024-11-01
19519.698800000002,5836.7695,14622.372038854508,2024-12-01
27801.26339999998,10417.326,18986.402315308955,2025-01-01
14993.293100000003,8355.206,13199.043704955235,2025-02-01
16209.985100000005,2821.5547,8184.137459175423,2025-03-01
18262.545700000002,8070.1904,11296.333113159846,2025-04-01
16315.327799999995,7809.8457,18484.275992617637,2025-05-01
19268.2503,3147.0222,14570.652416875626,2025-06-01
26501.24739999997,12506.083,23497.79655222302,2025-07-01
25495.866699999984,10916.903,29081.021699332858,2025-08-01
20676.65629999999,2937.4824,22321.39710345363,2025-09-01
25095.64929999998,9872.034,17464.315469016157,2025-10-01
23347.848899999986,6466.8364,15211.255936276015,2025-11-01
19606.0823,5836.7695,14613.750684643179,2025-12-01
27889.958999999984,10417.326,18989.74194055195,2026-01-01
15023.563700000004,8296.888,13199.043704955235,2026-02-01
16236.607000000004,2763.2366,8184.137459175423,2026-03-01
18423.078700000002,8078.1895,11692.551572590288,2026-04-01
16380.052099999997,7809.8457,17880.887111794684,2026-05-01
19383.182099999998,3148.9426,14509.42729518692,2026-06-01
26485.55759999997,12506.083,23571.451367656668,2026-07-01
25495.866699999984,10922.475,28985.933335194422,2026-08-01
19972.89309999999,2937.4824,19759.00792123833,2026-09-01
25078.51939999998,9872.034,17116.918001070644,2026-10-01
23347.848899999986,6466.8364,14255.9835945304,2026-11-01
19606.0823,5836.7695,14282.733933388437,2026-12-01
27582.30439999998,10417.326,18928.138197724133,2027-01-01
15023.563700000004,8258.192,13619.179825760199,2027-02-01
16236.607000000004,2724.5405,9037.38900586127,2027-03-01
18132.205700000006,8078.1895,12313.221829243135,2027-04-01
16380.052099999997,7809.8457,17882.849906770138,2027-05-01
19185.9421,2447.8015,13838.954923796911,2027-06-01
26782.74249999997,12506.083,23264.756606145977,2027-07-01
25390.80969999998,10922.475,28781.93456446749,2027-08-01
21640.55119999999,2937.4824,21586.65555389214,2027-09-01
25501.593799999977,9872.034,17055.31425824283,2027-10-01
23350.829399999984,6466.0015,14067.797649882043,2027-11-01
19631.7735,5836.7695,13965.103989885341,2027-12-01
27951.57569999998,10417.326,18650.65703864777,2028-01-01
15563.187300000001,8258.192,13892.240098086237,2028-02-01
16782.200900000003,2724.5405,8707.503807346766,2028-03-01
18316.965300000003,8078.1895,11998.41250545951,2028-04-01
16386.855599999995,7809.8457,17433.956971614803,2028-05-01
19210.982600000003,3148.9426,13548.243578237078,2028-06-01
26518.97629999997,12509.943,23622.916828999667,2028-07-01
25390.80969999998,10922.475,28781.93456446749,2028-08-01
21379.60159999999,2937.4824,21295.9442083323,2028-09-01
25440.917299999976,9872.034,17055.31425824283,2028-10-01
23290.152899999986,6466.0015,13720.400181936533,2028-11-01
19631.7735,5836.641,13712.509519253872,2028-12-01
27951.57569999998,10417.429,18650.65703864777,2029-01-01
15563.187300000001,8258.295,13892.240098086237,2029-02-01
16782.200900000003,2724.6436,8705.037776632793,2029-03-01
18316.965300000003,8078.285,12318.747255157181,2029-04-01
16608.600299999995,7809.9487,17798.361641323765,2029-05-01
19210.982600000003,3148.9426,13548.243578237078,2029-06-01
26658.106899999977,12509.943,23546.365238551018,2029-07-01
25339.204399999984,10922.475,28781.93456446749,2029-08-01
21384.50559999999,2937.4824,19111.615202450528,2029-09-01
25507.472799999974,9872.034,16840.854192626626,2029-10-01
23161.30519999999,6465.873,13698.550221823341,2029-11-01
19635.3674,5836.641,13994.66014746033,2029-12-01
27938.039699999983,10417.429,18225.14306077501,2030-01-01
15993.766200000002,8313.878,14359.936781533419,2030-02-01
17212.779800000004,2724.6436,9870.530058304239,2030-03-01
18316.965300000003,8078.285,12491.70182257226,2030-04-01
16595.064299999995,7868.133,17332.38822289419,2030-05-01
19019.173300000002,3174.832,13109.604163334527,2030-06-01
26444.110199999977,12509.943,23739.65280011151,2030-07-01
25746.09999999998,10921.344,28877.261845112516,2030-08-01
21395.40249999999,2976.8462,21034.317506518913,2030-09-01
25507.472799999974,9872.034,16564.939638605403,2030-10-01
23756.03339999999,6461.9937,14028.518616405996,2030-11-01
20026.265499999998,5873.526,13983.584437394271,2030-12-01
